ID,User,Tweet_text,Likes,Retweets
1648286160727228417,luvyoulikemango,RT @CHRISF0GLE: Elaboration: the curtains were not fucking blue if the thing being analyzed is a work of fiction—they don’t exist. In ficti…,0,162
1648286159456329728,Mariddikulus,I'm so sorry for everyone who thought I was going to post interesting facts or only about Cate/Nina... while half of my tweets is me talking about the random shit going through my mind,0,0
1648286159171121152,Red7Slots,"𝘾𝙖𝙣 𝙮𝙤𝙪...𝙃𝙊𝙇𝘿 𝙮𝙤𝙪𝙧 𝙣𝙚𝙧𝙫𝙚!
🜸Bet and play BUT cash out before the CRASH!
🜸Play any of Crash games here and win one of 210 random GUARANTEED prizes which will drop between until Thursday
🜸Winners selected at random every day.
Play here:https://t.co/CJ3Pm5bJ3Q https://t.co/wjTXrsxYrC",0,0
1648286158089072642,OumouFll,RT @badboyrepublic: that random urge to just cry everything https://t.co/NC6PXB3pdH,0,22998
1648286155291623425,bigwinn_today,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286153722990593,fairyyytaeil,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286145967693824,Camille09011,"RT @ZNNPhotobook: 𝐙𝐄𝐄𝐍𝐔𝐍𝐄𝐖 𝟏𝐒𝐓 𝐏𝐇𝐎𝐓𝐎𝐁𝐎𝐎𝐊

3 DAYS

📚Boxset : 2,290฿
📘DAY1 : 1,290฿
📙DAY2 : 1,290฿
🃏Photo Cards (Random) : 390฿

Pre-Order fo…",0,7004
1648286145032122368,Jalea273,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286144990412801,neotubatu_,"RT @KPOPLCPH: wts lfb ph help rt! 🙏🏼

💥 seventeen svt dk dokyeom seokmin non album photocard (trading card, memkit pc, its, etc) — ₱2,500…",0,6
1648286144843636737,Special8387,"RT @cinechwe: random details ive noticed from this clip: joshua's awk pause, woozi not moving even the slightest inch, their teen haircuts…",0,4
1648286143954264064,NanaNicosia,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286142259945472,tieraneot1c,"RT @Gee_Web3: Total Airdrop Pool is 50,000 $GT Token 🎉🎉

🏅Top 1-100 &amp; 7,000 Random Winner🏆

To Enter ⤵️
✅ Follow 
@Gee_Web3

✅ Like Rt/Tag…",0,3000
1648286138468057088,lorenacxstillo,RT @maybeeevirgo: when i get the random urge to tell my mom all my secrets when we’re alone together: https://t.co/PKHYhcWpYl,0,2353
